"RISK CATALOG use case: What are the risks associated with a control deficiency? (e.g., if the control fails, what risk(s) is the organization exposed to?)",,,,,,,,
* Definition of risk,,,** Danger: state of possibly suffering harm or injury,,,,,
"noun A situation where someone or something valued is exposed to danger, harm or loss.**",,,** Harm: material / physical damage,,,,,
"verb To expose someone or something valued to danger, harm or loss.",,,"** Loss: destruction, deprivation or inability to use",,,,,
Risk Grouping,Risk #,"Risk*
Note - Some of these risks may indicate a deficiency that could be considered a failure to meet ""reasonable security practices""",Description of Possible Risk Due To Control Deficiency,"NIST CSF 
Function","Materiality Considerations
If this risk materialized, would it potentially exceed the following financial impacts for the organization?",,,
,R-IR-3,Ineffective remediation actions,The inability to ensure incident response actions were correct and/or effective.,Protect,Unknown,Unknown,Unknown,Unknown
,R-IR-4,Expense associated with managing a loss event,Financial repercussions from responding to an incident or loss.,Respond,Unknown,Unknown,Unknown,Unknown
Situational Awareness,R-SA-1,Inability to maintain situational awareness,"The inability to detect cybersecurity and/or privacy incidents (e.g., a lack of situational awareness).",Detect,Unknown,Unknown,Unknown,Unknown
,R-SA-2,Lack of a security-minded workforce,The inability to appropriately educate and train personnel to foster a security-minded workforce.,Protect,Unknown,Unknown,Unknown,Unknown
Supply Chain,R-SC-1,Third-party cybersecurity exposure,"Loss of Confidentiality, Integrity, Availability and/or Safety (CIAS) from third-party cybersecurity practices, vulnerabilities and/or incidents that affects the supply chain through impacted products and/or services.",Protect,Unknown,Unknown,Unknown,Unknown
,R-SC-2,Third-party physical security exposure,"Loss of Confidentiality, Integrity, Availability and/or Safety (CIAS) from physical security exposure of third-party structures, facilities and/or other physical assets that affects the supply chain through impacted products and/or services.",Protect,Unknown,Unknown,Unknown,Unknown
,R-SC-3,"Third-party supply chain relationships, visibility and controls","Loss of Confidentiality, Integrity, Availability and/or Safety (CIAS) from ""downstream"" third-party relationships, visibility and controls that affect the supply chain through impacted products and/or services.",Protect,Unknown,Unknown,Unknown,Unknown
,R-SC-4,Third-party compliance / legal exposure,"The inability to maintain compliance due to third-party non-compliance, criminal acts, or other relevant legal action(s).",Protect,Unknown,Unknown,Unknown,Unknown
,R-SC-5,Use of product / service,The misuse of the product / service in a manner that it was not designed or how it was approved for use.,Protect,Unknown,Unknown,Unknown,Unknown
,R-SC-6,Reliance on the third-party,"The inability to continue business operations, due to the reliance on the third-party product and/or service.",Protect,Unknown,Unknown,Unknown,Unknown
Note: These are POSSIBLE risks and the risk catalog is expected to be tailored by the end user for the organization's unique set of obligations. This is not an authoritative list of all applicable risks. You are required to apply critical thought processes when identifying and evaluating risks.,,,,,,,,
